SW Version,2014.2
GT Type,7 Series GTX
Date and Time Started,2016-Aug-31 12:58:11
Date and Time Ended,2016-Aug-31 12:58:19
Scan Name,Scan_0
Link Settings,
Open Area,6656
Horizontal Opening,41
Vertical Opening,145
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,16
Vertical Range,100%
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
112,0.163358,0.0900134,0.0288935,0.0325695,0.0554104,0.0744175,0.0825794,0.107561,0.183738
96,0.126094,0.0434111,0.000696629,0.00163639,0.00642884,0.0101586,0.00554344,0.057142,0.134315
80,0.130468,0.0222993,5.96056e-09,5.96056e-09,1.96698e-07,4.47936e-06,8.43419e-07,0.0177283,0.0911372
64,0.151242,0.00958787,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,0.00103291,0.072282
48,0.172033,0.00337904,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.2845e-05,0.0655425
32,0.184318,0.000655127,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.08619e-08,0.0629995
16,0.19381,0.000104709,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,0.058924
0,0.202186,1.00167e-05,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,0.0531779
-16,0.195162,6.71159e-05,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,0.0585464
-32,0.187014,0.000467439,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.38422e-08,0.0626836
-48,0.175063,0.00259158,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.53365e-05,0.0650442
-64,0.15709,0.00786229,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,0.000927996,0.0720765
-80,0.134685,0.0189627,5.96056e-09,5.96056e-09,5.96056e-09,4.17239e-08,4.08298e-07,0.0138827,0.0890489
-96,0.126803,0.037537,0.000179437,0.000548104,0.00126244,0.00338888,0.00225587,0.0511992,0.122231
-112,0.146857,0.0703507,0.0172971,0.0227755,0.0329892,0.0465447,0.0618348,0.0977084,0.177605
Scan End
